2017-04-26 01:23:27,811 [Thread-11] ERROR org.eclipse.jgit.util.FS - stdin: is not a tty

2017-04-26 17:48:32,099 [Worker-408] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 17:48:32,107 [Worker-408] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 17:48:32,127 [Worker-408] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 18:09:19,355 [Worker-417] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 18:09:19,361 [Worker-417] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 18:09:19,369 [Worker-417] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 18:09:19,380 [Worker-417] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 18:09:33,556 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-26 18:09:33,601 [Worker-420] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem
2017-04-26 18:09:33,607 [Worker-420] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-04-26 19:18:38,834 [Worker-440] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:18:38,845 [Worker-440] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:18:38,854 [Worker-440] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:18:38,864 [Worker-440] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:18:48,323 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:18:48,338 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:18:48,346 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:18:48,364 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:18:49,443 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:18:49,448 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:18:49,457 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:18:49,468 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:21:55,931 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:21:55,936 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:21:55,941 [Worker-451] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:21:55,952 [Worker-451] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:22:29,927 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:22:29,932 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:22:29,937 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:22:29,947 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:23:38,030 [Worker-453] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:23:38,034 [Worker-453] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:23:38,041 [Worker-453] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:23:38,049 [Worker-453] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:23:55,606 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:23:55,614 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:23:55,621 [Worker-446] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:23:55,635 [Worker-446] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:28:34,347 [Worker-458] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:28:34,361 [Worker-458] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:28:34,367 [Worker-458] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:28:34,382 [Worker-458] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:31:23,633 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:23,662 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:31:23,672 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:23,683 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:31:36,071 [Worker-465] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:36,079 [Worker-465] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:31:36,085 [Worker-465] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:36,092 [Worker-465] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:31:44,410 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:44,415 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:31:44,422 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:44,434 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:31:52,849 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:52,854 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:31:52,860 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:52,868 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:31:58,610 [Worker-466] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:58,621 [Worker-466] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:31:58,634 [Worker-466] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:31:58,643 [Worker-466] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:32:34,137 [Worker-455] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:32:34,141 [Worker-455] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:32:34,148 [Worker-455] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:32:34,160 [Worker-455] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:32:41,805 [Worker-464] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:32:41,809 [Worker-464] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:32:41,813 [Worker-464] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:32:41,819 [Worker-464] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:32:47,592 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:32:47,596 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:32:47,601 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:32:47,608 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:33:06,196 [Worker-460] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:33:06,207 [Worker-460] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:33:06,214 [Worker-460] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:33:06,224 [Worker-460] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:33:44,822 [Worker-461] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:33:44,828 [Worker-461] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:33:44,839 [Worker-461] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:33:44,849 [Worker-461] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:33:47,607 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:33:47,613 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:33:47,617 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:33:47,631 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:34:05,838 [Worker-455] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:34:05,842 [Worker-455] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:34:05,846 [Worker-455] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:34:05,853 [Worker-455] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:34:10,570 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:34:10,581 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:34:10,587 [Worker-462] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:34:10,595 [Worker-462] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:35:24,817 [Worker-465] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:35:24,827 [Worker-465] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:35:24,833 [Worker-465] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:35:24,842 [Worker-465] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:35:30,375 [Worker-463] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:35:30,391 [Worker-463] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 19:35:30,396 [Worker-463] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 19:35:30,405 [Worker-463] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 19:35:55,777 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-26 19:35:55,811 [Worker-462] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem
2017-04-26 19:35:55,818 [Worker-462] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-04-26 19:36:28,925 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-26 19:36:29,037 [Worker-466] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem
2017-04-26 19:36:29,047 [Worker-466] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-04-26 21:54:45,909 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-26 21:54:45,948 [Worker-512] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem
2017-04-26 21:54:45,959 [Worker-512] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-04-26 21:58:16,152 [Worker-517] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:58:16,163 [Worker-517] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 21:58:16,169 [Worker-517] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:58:16,177 [Worker-517] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 21:58:25,180 [Worker-512] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:58:25,189 [Worker-512] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 21:58:25,196 [Worker-512] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:58:25,204 [Worker-512] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 21:59:10,668 [Worker-520] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:59:10,678 [Worker-520] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 21:59:10,684 [Worker-520] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:59:10,693 [Worker-520] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 21:59:17,137 [Worker-515] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:59:17,146 [Worker-515] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 21:59:17,152 [Worker-515] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:59:17,161 [Worker-515] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 21:59:32,782 [Worker-519] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:59:32,793 [Worker-519] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-26 21:59:32,801 [Worker-519] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-26 21:59:32,810 [Worker-519] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem\src\test\resources
2017-04-26 21:59:52,061 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-26 21:59:52,160 [Worker-511] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shiva\Documents\CSCI-5448\MovieRatingSystem
